Date,Time,All,N,S
Thursday 5 December 2019,00:00,911,377,534
,01:00,497,219,278
,02:00,434,224,210
,03:00,661,429,232
,04:00,1527,1051,476
,05:00,3147,1836,1311
,06:00,8287,4311,3976
,07:00,10455,6167,4288
,08:00,10284,6058,4226
,09:00,9566,5110,4456
,10:00,8860,4671,4189
,11:00,8478,4433,4045
,12:00,8742,4234,4508
,13:00,9179,4643,4536
,14:00,9726,4846,4880
,15:00,11085,5369,5716
,16:00,11014,5569,5445
,17:00,9832,5112,4720
,18:00,8886,4377,4509
,19:00,7591,3732,3859
,20:00,5611,2608,3003
,21:00,4444,2000,2444
,22:00,2961,1373,1588
,23:00,1892,740,1152
,Total,154070,79489,74581
Friday 6 December 2019,00:00,1200,442,758
,01:00,642,274,368
,02:00,517,258,259
,03:00,705,433,272
,04:00,1672,1162,510
,05:00,3106,1808,1298
,06:00,7513,4056,3457
,07:00,10347,6187,4160
,08:00,9794,5547,4247
,09:00,9161,4689,4472
,10:00,8572,4466,4106
,11:00,9103,4552,4551
,12:00,9696,4760,4936
,13:00,10663,5277,5386
,14:00,11185,5383,5802
,15:00,10800,5548,5252
,16:00,10631,5380,5251
,17:00,9200,5033,4167
,18:00,7874,4194,3680
,19:00,7047,3503,3544
,20:00,5354,2554,2800
,21:00,4134,2004,2130
,22:00,3173,1419,1754
,23:00,2283,958,1325
,Total,154372,79887,74485
